viral_load_matrix	../simulation/Simulated_populations/seir_viral_loads_swab.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	356
LOD	4.0
loaded viral load matrix with shape (12500000, 357) and 213965760 entries
Time: 278; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.8434
Time: 279; Case frequency: 0.00004; Efficiency: 1.00; Sensitivity: 0.8415
Time: 280; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.8488
Time: 281; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.8276
Time: 282; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.8606
Time: 283; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.8427
Time: 284; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.8278
Time: 285; Case frequency: 0.00003; Efficiency: 1.00; Sensitivity: 0.8070
Time: 286; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.8551
Time: 287; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.8213
Time: 288; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.8408
Time: 289; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.8370
Time: 290; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.8140
Time: 291; Case frequency: 0.00002; Efficiency: 1.00; Sensitivity: 0.8723
Time: 292; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8840
Time: 293; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8807
Time: 294; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8963
Time: 295; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8280
Time: 296; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8462
Time: 297; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.7910
Time: 298; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.7705
Time: 299; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.7723
Time: 300; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.7333
Time: 301; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.7531
Time: 302; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.7917
Time: 303; Case frequency: 0.00001; Efficiency: 1.00; Sensitivity: 0.8594
Time: 304; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8814
Time: 305; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8364
Time: 306; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8627
Time: 307; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.9020
Time: 308; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8298
Time: 309; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.7556
Time: 310; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8500
Time: 311; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8919
Time: 312; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8857
Time: 313; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 314; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8182
Time: 315; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8485
Time: 316; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8387
Time: 317; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.9310
Time: 318; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8519
Time: 319; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.7857
Time: 320; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 0.8400
